date,min_p,min_p_loc,min_T,min_T_loc,min_humidity,min_humidity_loc
2021-10-01,63599.22,13126,-142.8,13126,16.32,11114
2021-10-02,63599.22,13126,-142.8,13126,19.08,11077
2021-10-03,63599.22,13126,-142.8,13126,18.23,11077
2021-10-04,63599.22,13126,-142.8,13126,17.65,11077
2021-10-05,63599.22,13126,-142.8,13126,21.51,11114
2021-10-06,63599.22,13126,-142.8,13126,27.33,21779
2021-10-07,63599.22,13126,-142.8,13126,8.31,10261
2021-10-08,63599.22,13126,-142.8,13126,0.0,10261
2021-10-09,94216.78,10261,4.48,21779,0.0,10261
2021-10-10,94045.44,10261,3.81,21779,0.0,10261
2021-10-11,93373.38,10261,4.06,21779,0.0,10261
2021-10-12,93098.72,10261,6.52,10261,0.0,10261
2021-10-13,93235.16,10261,5.28,21779,0.0,10261
2021-10-14,93890.22,10261,3.29,10261,0.0,10261
